"STATISTIC","Statistic Label","TLIST(W1)","Year","C03910V04662","Transport Traffic Site","C01198V01436","Weeks of the year","UNIT","VALUE"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","53","Week 53","Number","5759"
"THA22C01","Average weekly volume of heavy goods vehicles","2021","2021","10","Selected traffic sites - Dublin","01","Week 01","Number","37827"
"THA22C01","Average weekly volume of heavy goods vehicles","2021","2021","10","Selected traffic sites - Dublin","02","Week 02","Number","35905"
"THA22C01","Average weekly volume of heavy goods vehicles","2021","2021","10","Selected traffic sites - Dublin","03","Week 03","Number","36698"
"THA22C01","Average weekly volume of heavy goods vehicles","2021","2021","10","Selected traffic sites - Dublin","04","Week 04","Number","37463"
"THA22C01","Average weekly volume of heavy goods vehicles","2021","2021","10","Selected traffic sites - Dublin","05","Week 05","Number","38621"
"THA22C01","Average weekly volume of heavy goods vehicles","2021","2021","10","Selected traffic sites - Dublin","06","Week 06","Number","38444"
"THA22C01","Average weekly volume of heavy goods vehicles","2021","2021","10","Selected traffic sites - Dublin","07","Week 07","Number","39031"
"THA22C01","Average weekly volume of heavy goods vehicles","2021","2021","10","Selected traffic sites - Dublin","08","Week 08","Number","39375"
"THA22C01","Average weekly volume of heavy goods vehicles","2021","2021","10","Selected traffic sites - Dublin","09","Week 09","Number","41836"
"THA22C01","Average weekly volume of heavy goods vehicles","2021","2021","10","Selected traffic sites - Dublin","10","Week 10","Number","41981"
"THA22C01","Average weekly volume of heavy goods vehicles","2021","2021","10","Selected traffic sites - Dublin","11","Week 11","Number","37885"
"THA22C01","Average weekly volume of heavy goods vehicles","2021","2021","10","Selected traffic sites - Dublin","12","Week 12","Number","43558"
"THA22C01","Average weekly volume of heavy goods vehicles","2021","2021","10","Selected traffic sites - Dublin","13","Week 13","Number","41840"
