"STATISTIC","Statistic Label","TLIST(W1)","Year","C03910V04662","Transport Traffic Site","C01198V01436","Weeks of the year","UNIT","VALUE"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","29","Week 29","Number","471550"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","30","Week 30","Number","473671"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","31","Week 31","Number","476103"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","32","Week 32","Number","467430"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","33","Week 33","Number","463641"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","34","Week 34","Number","459846"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","35","Week 35","Number","468215"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","36","Week 36","Number","474557"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","37","Week 37","Number","477994"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","38","Week 38","Number","451770"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","39","Week 39","Number","420403"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","40","Week 40","Number","417913"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","41","Week 41","Number","388453"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","42","Week 42","Number","380446"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","43","Week 43","Number","338897"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","44","Week 44","Number","279363"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","45","Week 45","Number","334772"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","46","Week 46","Number","346055"
