Town,County,Latitude,Longitude,Bus,Motorcycle,Other,Rail,Car,Bicyle / On Foot,Total,Cluster,Classification
Ballyknockan,Wicklow,53.1029934,-6.4959254,56,0,0,0,238,6,300,0,Town (Small)
Ballylanders,Limerick,52.37351659999999,-8.3455064,36,0,2,0,266,88,392,0,Town (Small)
Ballyliffin,Donegal,55.2784391,-7.3942123,82,0,2,0,374,46,504,0,Town (Small)
Ballylinan,Laois,52.94358829999999,-7.0420455,206,2,12,32,1176,148,1576,0,Town (Small)
Ballylongford,Kerry,52.5479992,-9.4788097,66,0,4,0,354,18,442,0,Town (Small)
Ballymacarbry,Waterford,52.2670804,-7.717650399999999,24,0,0,0,138,14,176,0,Town (Small)
Ballymacoda,Cork,51.89210929999999,-7.9395743,62,2,0,0,218,0,282,0,Town (Small)
Ballymahon,Longford,53.5643632,-7.764596399999999,40,2,2,6,1162,524,1736,0,Town (Small)
Ballymore,Westmeath,53.4909131,-7.679746399999999,64,0,8,8,500,50,630,0,Town (Small)
Ballymore Eustace,Kildare,53.1330099,-6.614880899999999,112,0,0,12,600,92,816,0,Town (Small)
Ballymote,Sligo,54.08982880000001,-8.5171827,98,4,4,18,1534,364,2022,0,Town (Small)
Ballymurn,Wexford,52.4412829,-6.477046899999999,84,2,2,2,690,78,858,0,Town (Small)
Ballynacargy,Westmeath,53.5820789,-7.5364989,28,0,0,0,128,48,204,0,Town (Small)
Ballynacarrow,Sligo,54.13409679999999,-8.560462,18,0,0,0,256,28,302,0,Town (Small)
Ballyneety,Limerick,52.5977547,-8.5490207,36,0,0,2,682,18,738,0,Town (Small)
Ballynoe,Cork,51.9472538,-8.4460079,50,0,0,0,208,6,264,0,Town (Small)
Ballyoulster,Kildare,53.34146459999999,-6.512193799999999,80,2,2,10,336,60,490,0,Town (Small)
Ballyporeen,Tipperary,52.2701094,-8.0992106,42,0,4,2,252,60,360,0,Town (Small)
Ballyragget,Kilkenny,52.7888894,-7.3328641,148,0,10,4,952,188,1302,0,Town (Small)
Ballyroan,Laois,52.9483991,-7.304667599999998,102,0,6,4,712,64,888,0,Town (Small)
Ballyroe,Kildare,52.9578429,-6.9389751,24,0,2,4,160,36,226,0,Town (Small)
Ballysadare,Sligo,54.2121162,-8.5090366,88,4,10,10,2012,272,2396,0,Town (Small)
Ballyshannon,Donegal,54.5029882,-8.1920416,124,2,4,6,1626,514,2276,0,Town (Small)
Ballysimon,Wexford,52.5227528,-6.483686199999999,32,0,12,0,356,40,440,0,Town (Small)
Ballyvaughan,Clare,53.1155333,-9.149423299999999,34,0,2,0,94,48,178,0,Town (Small)
Balrothery,Dublin,53.2915766,-6.339198199999999,380,10,4,84,2030,498,3006,0,Town (Small)
Baltimore,Cork,51.4843274,-9.3661093,86,2,8,4,272,90,462,0,Town (Small)
Baltinglass,Wicklow,52.9407807,-6.710979999999999,104,4,8,12,2014,774,2916,0,Town (Small)
Baltray,Louth,53.7371107,-6.2704904,10,0,0,4,166,2,182,0,Town (Small)
Banagher,Offaly,53.1901112,-7.986104900000001,62,0,12,6,1372,586,2038,0,Town (Small)
Bandon,Cork,51.74586679999999,-8.735055299999999,808,18,44,18,7458,1716,10062,0,Town (Small)
Bangor Erris,Mayo,54.14464839999999,-9.7428784,50,0,4,0,266,70,390,0,Town (Small)
Bansha,Tipperary,52.4482369,-8.0642959,42,0,0,6,256,62,366,0,Town (Small)
Banteer,Cork,52.12946059999999,-8.8935092,36,0,2,10,312,50,410,0,Town (Small)
Bantry,Cork,51.6800803,-9.452576299999999,102,2,12,2,2240,780,3138,0,Town (Small)
Barndarrig,Wicklow,52.90998,-6.11336,54,0,2,2,256,10,324,0,Town (Small)
Barntown,Wexford,52.34238800000001,-6.5284919,34,0,0,4,526,26,590,0,Town (Small)
Baylin,Westmeath,53.43380999999999,-7.840739999999998,14,0,0,6,340,26,386,0,Town (Small)
Bearna,Galway,53.2506642,-9.155134499999999,144,8,10,8,2436,362,2968,0,Town (Small)
Beaufort,Kerry,52.0722344,-9.6392584,26,0,2,2,280,18,328,0,Town (Small)
Beaulieu,Louth,53.7280656,-6.2935757,12,2,6,4,230,12,266,0,Town (Small)
Belcarra,Mayo,53.8022746,-9.2141371,12,0,0,0,180,36,228,0,Town (Small)
Belgooly,Cork,51.7368994,-8.481586900000002,206,0,2,6,888,140,1242,0,Town (Small)
Bellanagare,Roscommon,53.8369829,-8.3815026,12,0,4,0,124,14,154,0,Town (Small)
Bellanode,Monaghan,54.266922,-7.0364418,64,0,2,0,484,22,572,0,Town (Small)
Bellavary,Mayo,53.89366,-9.15104,20,0,0,0,186,34,240,0,Town (Small)
Belmont,Offaly,53.2560708,-7.895165199999999,12,0,0,0,152,14,178,0,Town (Small)
Belturbet,Cavan,54.10190559999999,-7.449668,120,0,4,6,1154,306,1590,0,Town (Small)
Bennettsbridge,Kilkenny,52.5923475,-7.1843272,72,0,8,2,600,100,782,0,Town (Small)
Birr,Offaly,53.0980052,-7.909688200000001,152,2,24,36,3602,1314,5130,0,Town (Small)
Blacklion,Cavan,54.2920639,-7.875127599999999,8,0,0,4,162,22,196,0,Town (Small)
Blackwater,Wexford,52.4473539,-6.346930299999999,60,0,0,2,390,62,514,0,Town (Small)
Blarney,Cork,51.9338275,-8.5612438,198,4,2,8,2798,370,3380,0,Town (Small)
Blessington,Wicklow,53.1696579,-6.534068700000001,808,20,16,52,5150,1570,7616,0,Town (Small)
Boherbue,Cork,52.1582386,-9.0684828,8,0,0,0,406,118,532,0,Town (Small)
Boherlahan,Tipperary,52.5730161,-7.893562899999999,16,0,2,4,170,20,212,0,Town (Small)
Bohola,Mayo,53.9025842,-9.0549945,26,0,0,0,170,10,206,0,Town (Small)
Bonniconlon,Mayo,54.10908999999999,-9.03075,12,0,0,0,204,36,252,0,Town (Small)
Borris,Carlow,52.6012982,-6.9279771,20,0,4,6,438,164,632,0,Town (Small)
Borris-In-Ossory,Laois,52.93917769999999,-7.6310983,104,0,4,6,538,124,776,0,Town (Small)
Borrisokane,Tipperary,52.9963736,-8.127325599999999,62,6,2,0,808,330,1208,0,Town (Small)
Borrisoleigh,Tipperary,52.7525257,-7.957887599999999,12,2,12,8,662,134,830,0,Town (Small)
Boyle,Roscommon,53.9722082,-8.2972756,136,0,14,20,1886,684,2740,0,Town (Small)
Bracknagh,Offaly,53.209205,-7.0981836,28,0,4,4,238,16,290,0,Town (Small)
