Town,County,Latitude,Longitude,Bus,Motorcycle,Other,Rail,Car,Bicyle / On Foot,Total,Cluster
Carrignavar,Cork,51.9891078,-8.477924,4,0,2,4,636,114,760,0
Carrigtwohill,Cork,51.9094919,-8.2589402,396,32,12,186,5990,1530,8146,0
Carrowkeel,Donegal,55.137713,-7.663875699999999,62,0,0,0,274,68,404,0
Cashel,Tipperary,52.51590969999999,-7.8915829,166,4,20,22,3842,1466,5520,0
Castlebar,Mayo,53.8550014,-9.287925699999999,460,12,46,52,11318,3494,15382,3
Castlebellingham-Kilsaran,Louth,53.89811,-6.3895,150,6,4,8,962,134,1264,0
Castleblayney,Monaghan,54.120659,-6.7397374,178,6,24,10,3394,1050,4662,0
Castlebridge,Wexford,52.3824281,-6.4502872,176,6,4,6,1956,250,2398,0
Castlecomer,Kilkenny,52.8052843,-7.210312699999998,66,2,0,6,1230,328,1632,0
Castleconnell,Limerick,52.7129297,-8.500052499999999,350,8,18,16,2466,320,3178,0
Castledermot,Kildare,52.9118755,-6.837567,62,0,16,18,1506,450,2052,0
Castlefinn,Donegal,54.802999,-7.5895814,152,0,8,2,514,104,780,0
Castlegregory,Kerry,52.25346510000001,-10.0207218,12,2,4,2,352,62,434,0
Castleisland,Kerry,52.2328974,-9.4601492,84,0,16,4,2208,476,2788,0
Castlelyons,Cork,52.0885669,-8.233699,70,0,0,0,484,14,568,0
Castlemagner,Cork,51.8985143,-8.4756035,42,0,8,6,452,2,510,0
Castlemaine,Kerry,52.1684322,-9.7014756,6,0,2,0,184,12,204,0
Castlemartyr,Cork,51.9119477,-8.0535486,286,4,10,6,1402,390,2098,0
Castlepollard,Westmeath,53.6800722,-7.2964508,56,0,6,4,1052,310,1428,0
Castlerea,Roscommon,53.7686571,-8.4924537,104,6,22,38,1510,336,2016,0
Castletown,Laois,52.9774693,-7.4995604,46,0,2,4,422,70,544,0
Castletown Geoghegan,Westmeath,53.4462801,-7.487606899999999,38,0,2,4,274,30,348,0
Castletownbere,Cork,51.65149539999999,-9.910330199999999,12,0,4,0,756,384,1156,0
Castletownroche,Cork,52.1731113,-8.4634479,40,0,6,4,384,114,548,0
Castletownshend,Cork,51.5265757,-9.179386899999999,6,0,2,2,126,14,150,0
Causeway,Kerry,52.41442199999999,-9.7330771,2,0,2,0,184,30,218,0
Cavan,Cavan,53.9897186,-7.3633319,846,20,48,26,10680,2234,13854,3
Celbridge,Kildare,53.3383911,-6.5397633,3912,124,34,892,16910,5594,27466,3
Charlestown-Bellahy,Mayo,53.964167,-8.795278,54,0,12,2,1072,322,1462,0
Charleville,Cork,52.3556889,-8.6840314,182,10,16,12,3144,968,4332,0
Cheekpoint,Waterford,52.2698641,-7.0009247,20,0,6,4,242,10,282,0
Churchtown,Cork,52.2713057,-8.730869199999999,60,0,0,16,570,162,808,0
Cill Charthaigh,Donegal,54.6323944,-8.5894621,54,0,2,0,344,50,450,0
Cill Rónáin,Galway,53.1232125,-9.670372799999999,16,0,4,2,114,96,232,0
Clane,Kildare,53.293785,-6.6870404,946,24,18,178,7760,2064,10990,0
Clara,Offaly,53.3425103,-7.613480099999999,184,4,14,80,3092,654,4028,0
Claremorris,Mayo,53.72387639999999,-9.0017356,474,16,6,26,3320,736,4578,0
Clarina,Limerick,52.63209,-8.73269,42,0,2,0,682,36,762,0
Clarinbridge,Galway,53.2293077,-8.8773824,112,0,4,8,994,88,1206,0
Clashmore,Waterford,52.0093569,-7.8188756,54,2,0,0,256,46,358,0
Clifden,Galway,53.4891345,-10.0202388,64,0,6,6,712,504,1292,0
Cliffony,Sligo,54.430559,-8.453432399999999,52,2,6,0,454,58,572,0
Clogh,Kilkenny,52.8710161,-7.1642467,42,0,4,2,274,14,336,0
Cloghan,Offaly,53.2252399,-7.8825143,76,0,8,2,590,74,750,0
Clogheen,Tipperary,52.2770794,-7.9951028,60,4,0,0,418,62,544,0
Clogherhead,Louth,53.7916777,-6.2388506,482,2,22,36,2056,518,3116,0
Cloghfin,Donegal,54.653827,-8.1096142,20,0,0,0,120,4,144,0
Clonakilty,Cork,51.6203379,-8.905510399999999,204,10,12,8,4000,1796,6030,0
Clonard,Meath,53.4515329,-7.0231073,78,2,2,6,326,24,438,0
Clonaslee,Laois,53.1486014,-7.524369599999999,20,2,4,4,632,84,746,0
Clonbullogue,Offaly,53.26068309999999,-7.086431,46,2,2,6,314,58,428,0
Clondrohid,Cork,51.9292332,-9.022767499999999,22,0,2,0,212,18,254,0
Clondulane,Cork,52.1421634,-8.2203365,4,2,2,0,554,96,658,0
Clonee,Meath,53.4105621,-6.4426,200,16,2,48,1060,200,1526,0
Clonegall,Carlow,52.6948009,-6.6477303,10,0,6,0,202,60,278,0
Clones,Monaghan,54.1796829,-7.230667100000001,72,2,10,4,1258,818,2164,0
Clongeen,Wexford,52.2978897,-6.7727531,46,0,0,2,212,22,282,0
Clonlara,Clare,52.7238329,-8.5528365,52,0,4,2,840,118,1016,0
Clonmany,Donegal,55.2628052,-7.411610800000001,104,0,6,2,438,58,608,0
Clonmel,Tipperary,52.3623523,-7.7007084,756,50,46,32,16448,3590,20922,3
Clonmellon,Westmeath,53.6640717,-7.0183933,102,0,8,4,670,136,920,0
Clonroche,Wexford,52.4496872,-6.7174157,30,0,0,0,212,62,304,0
Clontibret,Monaghan,54.2054431,-6.8415402,40,0,0,2,216,32,290,0
Clonygowan,Offaly,53.1874518,-7.2804446,32,0,4,20,306,74,436,0
Cloonfad,Roscommon,53.6867556,-8.75182,26,0,6,0,378,70,480,0
Cloontuskert,Roscommon,53.70606859999999,-8.0028889,10,2,0,2,180,16,210,0
Cloughduv,Cork,51.8473203,-8.7880041,68,0,2,0,450,88,608,0
Cloughjordan,Tipperary,52.9429442,-8.0383372,128,2,8,14,392,228,772,0
Cloyne,Cork,51.8630971,-8.121236999999999,306,12,12,30,1926,388,2674,0
Cluain Bú,Galway,53.5137007,-8.6601381,88,0,4,0,498,8,598,0
Coachford,Cork,51.909471,-8.788960099999999,12,0,2,0,416,140,570,0
Cobh,Cork,51.8530415,-8.295090499999999,1398,30,116,606,12322,3338,17810,3
Coill Dubh (Blackwood),Kildare,53.2931573,-6.818584400000001,234,6,4,10,1402,198,1854,0
Collinstown,Westmeath,53.64747149999999,-7.212159999999999,36,2,0,0,304,66,408,0
Collon,Louth,53.7777425,-6.4840991,242,0,2,4,732,188,1168,0
Collooney,Sligo,54.1849522,-8.4865545,146,0,2,12,1894,346,2400,0
Conna,Cork,52.0931079,-8.1073545,118,0,4,0,542,96,760,0
Convoy,Donegal,54.859725,-7.6654466,196,0,6,0,1484,182,1868,0
Coolaney,Sligo,54.17380929999999,-8.6008023,164,4,6,6,1478,42,1700,0
Coolboy,Wicklow,52.7620319,-6.462780299999999,54,0,2,0,314,6,376,0
Coolgreany,Wexford,52.7647077,-6.2360077,30,4,6,4,356,40,440,0
Cootehall,Roscommon,53.9841688,-8.1580069,52,2,4,2,300,2,362,0
Cootehill,Cavan,54.0725034,-7.0823541,234,0,6,2,1564,416,2222,0
Cork city and suburbs,Cork,51.8985143,-8.4756035,25718,868,648,1218,170530,59804,258786,4
Corofin,Clare,52.9448216,-9.0640874,158,0,0,2,676,76,912,0
Corrandulla,Galway,53.3991608,-8.995794499999999,70,2,0,0,400,74,546,0
Corrofin,Galway,53.437565,-8.8602715,158,0,4,2,906,14,1084,0
Courtbrack,Cork,51.8808748,-8.4785161,26,0,4,0,676,0,706,0
Courtmacsherry,Cork,51.63385539999999,-8.7059339,118,0,2,2,508,38,668,0
Courtown,Wexford,52.6448624,-6.2286169,676,4,22,28,3416,548,4694,0
Cratloe,Clare,52.6985433,-8.762853699999999,52,4,4,2,910,44,1016,0
Craughwell,Galway,53.2302689,-8.7347736,162,0,6,10,1250,38,1466,0
Creeslough,Donegal,55.12334970000001,-7.909467599999999,64,0,0,0,266,68,398,0
Crinkill,Offaly,53.07837860000001,-7.8970751,28,0,0,6,728,158,920,0
Cromane,Kerry,52.1061221,-9.898534699999999,4,0,0,0,222,16,242,0
Crookstown,Cork,51.84242700000001,-8.830431899999999,32,0,0,0,194,8,234,0
Croom,Limerick,52.519036,-8.7174345,26,2,0,0,658,266,952,0
