,Town,Latitude,Longitude
289,"Grenagh,Cork,Ireland",52.0104774,-8.610667
290,"Mallow,Cork,Ireland",52.13897619999999,-8.6539164
291,"Courtbrack,Cork,Ireland",51.8808748,-8.4785161
292,"Crossbarry,Cork,Ireland",51.8020473,-8.6453657
293,"Killumney,Cork,Ireland",51.8637285,-8.6539137
294,"Inishannon,Cork,Ireland",51.7649008,-8.6574773
295,"Buttevant,Cork,Ireland",52.2321335,-8.670124699999999
296,"Charleville,Cork,Ireland",52.3556889,-8.6840314
297,"Drommahane,Cork,Ireland",52.1056038,-8.6908349
298,"Kilbrittain,Cork,Ireland",51.6735577,-8.6917337
299,"Courtmacsherry,Cork,Ireland",51.63385539999999,-8.7059339
300,"Bweeng,Cork,Ireland",52.0448011,-8.7231577
301,"Churchtown,Cork,Ireland",52.2713057,-8.730869199999999
302,"Rathard-Aherla,Cork,Ireland",51.8536728,-8.732601899999999
303,"Ballyclogh,Cork,Ireland",52.1673919,-8.742242
304,"Farran,Cork,Ireland",51.8733225,-8.720434299999999
305,"Model Village or Dripsey,Cork,Ireland",51.9143772,-8.7420906
306,"Bandon,Cork,Ireland",51.74586679999999,-8.735055299999999
307,"Newtown,Cork,Ireland",51.8282409,-8.3803862
308,"Timoleague,Cork,Ireland",51.6432296,-8.766188699999999
309,"Cloughduv,Cork,Ireland",51.8473203,-8.7880041
310,"Coachford,Cork,Ireland",51.909471,-8.788960099999999
311,"Dromina,Cork,Ireland",52.3117507,-8.8012075
312,"Liscarroll,Cork,Ireland",52.2600728,-8.8041711
313,"Castlemagner,Cork,Ireland",51.8985143,-8.4756035
314,"Kilbrin,Cork,Ireland",51.8812776,-8.4408691
315,"Crookstown,Cork,Ireland",51.84242700000001,-8.830431899999999
316,"Milford,Cork,Ireland",51.8721994,-8.4998655
317,"Lyre,Cork,Ireland",52.0817595,-8.8580581
318,"Freemount,Cork,Ireland",52.2768369,-8.8847534
319,"Banteer,Cork,Ireland",52.12946059999999,-8.8935092
320,"Clonakilty,Cork,Ireland",51.6203379,-8.905510399999999
321,"Kanturk,Cork,Ireland",52.17725489999999,-8.9051669
322,"Ballineen-Enniskean,Cork,Ireland",51.73824,-8.930579999999999
323,"Macroom,Cork,Ireland",51.9048039,-8.9588478
324,"Rathcoole,Cork,Ireland",52.0942583,-8.974065099999999
325,"Newmarket,Cork,Ireland",52.2140232,-9.0030815
326,"Clondrohid,Cork,Ireland",51.9292332,-9.022767499999999
327,"Rosscarbery,Cork,Ireland",51.57767,-9.038
328,"Millstreet,Cork,Ireland",52.06013180000001,-9.0647121
329,"Boherbue,Cork,Ireland",52.1582386,-9.0684828
330,"Dunmanway,Cork,Ireland",51.7222571,-9.1118088
331,"Inchigeelagh,Cork,Ireland",51.8424464,-9.1264323
332,"Leap,Cork,Ireland",51.5811998,-9.1408671
333,"Unionhall,Cork,Ireland",51.558803,-9.1434791
334,"Baile Mhic Íre,Cork,Ireland",51.93639049999999,-9.1454314
335,"Castletownshend,Cork,Ireland",51.5265757,-9.179386899999999
336,"Knocknagree,Cork,Ireland",51.8897908,-8.4983892
337,"Ballydesmond,Cork,Ireland",52.1796564,-9.2341524
338,"Béal Átha An Ghaorthaidh,Cork,Ireland",51.8507469,-9.232640199999999
339,"Drimoleague,Cork,Ireland",51.6599357,-9.261245299999999
340,"Skibbereen,Cork,Ireland",51.55592439999999,-9.262130299999999
341,"Baltimore,Cork,Ireland",51.4843274,-9.3661093
342,"Bantry,Cork,Ireland",51.6800803,-9.452576299999999
343,"Ballydehob,Cork,Ireland",51.5644261,-9.463412199999999
344,"Durrus,Cork,Ireland",51.6217112,-9.521993
345,"Schull,Cork,Ireland",51.526867,-9.5479801
346,"Glengarriff,Cork,Ireland",51.7500277,-9.5522224
347,"Castletownbere,Cork,Ireland",51.65149539999999,-9.910330199999999
348,"Rathmore,Kerry,Ireland",52.0842484,-9.2184337
349,"Brosna,Kerry,Ireland",52.3125648,-9.267679
350,"Gneevgullia,Kerry,Ireland",52.1166851,-9.2719471
351,"Newtownsandes,Kerry,Ireland",52.50166,-9.3705609
352,"Tarbert,Kerry,Ireland",52.5724738,-9.374537199999999
353,"Duagh,Kerry,Ireland",52.4147893,-9.3901918
354,"Kilgarvan,Kerry,Ireland",51.9031476,-9.4384061
355,"Castleisland,Kerry,Ireland",52.2328974,-9.4601492
356,"Ballylongford,Kerry,Ireland",52.5479992,-9.4788097
357,"Kilcummin,Kerry,Ireland",52.0984108,-9.470070399999999
358,"Listowel,Kerry,Ireland",52.4460488,-9.4853655
359,"Killarney,Kerry,Ireland",52.0598646,-9.504362900000002
360,"Kenmare,Kerry,Ireland",51.8801017,-9.583520199999999
361,"Fieries,Kerry,Ireland",52.17019,-9.59718
362,"Lixnaw,Kerry,Ireland",52.4064615,-9.6181275
363,"Kilflynn,Kerry,Ireland",52.3505422,-9.625316399999999
364,"Beaufort,Kerry,Ireland",52.0722344,-9.6392584
365,"Ballyduff,Kerry,Ireland",52.45455159999999,-9.662905199999999
366,"Ballybunion,Kerry,Ireland",52.51108,-9.670969999999999
367,"Abbeydorney,Kerry,Ireland",52.346618,-9.6879095
368,"Tralee,Kerry,Ireland",52.2713096,-9.6999325
369,"Castlemaine,Kerry,Ireland",52.1684322,-9.7014756
370,"Milltown,Kerry,Ireland",52.1451912,-9.7175069
371,"Causeway,Kerry,Ireland",52.41442199999999,-9.7330771
372,"Ardfert,Kerry,Ireland",52.3282825,-9.767440599999999
373,"Spa,Kerry,Ireland",52.27538999999999,-9.788499999999999
374,"Killorglin,Kerry,Ireland",52.10635079999999,-9.7843403
375,"Ballyheigue,Kerry,Ireland",52.3904645,-9.8277419
376,"Fenit,Kerry,Ireland",52.2784045,-9.8612114
377,"Cromane,Kerry,Ireland",52.1061221,-9.898534699999999
378,"Sneem,Kerry,Ireland",51.8373942,-9.8983245
379,"Glenbeigh,Kerry,Ireland",52.0561861,-9.9403477
380,"Castlegregory,Kerry,Ireland",52.25346510000001,-10.0207218
381,"Annascaul,Kerry,Ireland",52.1510786,-10.0567611
382,"Waterville,Kerry,Ireland",51.829465,-10.1745436
383,"Cahirciveen,Kerry,Ireland",51.9477992,-10.2209047
384,"Dingle-Daingean Uí Chuis,Kerry,Ireland",52.1408534,-10.2671142
385,"Knightstown,Kerry,Ireland",51.9253777,-10.2918805
386,"Portmagee,Kerry,Ireland",51.8854295,-10.36194
387,"Limerick city and suburbs,Limerick,Ireland",52.663839,-8.626729899999999
388,"Doon,Limerick,Ireland",52.6043221,-8.248491699999999
389,"Oola,Limerick,Ireland",52.5296598,-8.2596358
390,"Galbally,Limerick,Ireland",52.4000202,-8.2936733
391,"Cappamore,Limerick,Ireland",52.6149925,-8.3377813
392,"Pallasgreen,Limerick,Ireland",52.54873,-8.355184999999999
393,"Ballylanders,Limerick,Ireland",52.37351659999999,-8.3455064
394,"Kilteely,Limerick,Ireland",52.55401999999999,-8.391494999999999
395,"Moroe,Limerick,Ireland",52.649444,-8.39949
396,"Knocklong,Limerick,Ireland",52.4373844,-8.4117892
397,"Hospital,Limerick,Ireland",52.4743003,-8.4324543
398,"Caherconlish,Limerick,Ireland",52.5951658,-8.4723577
399,"Kilfinnane,Limerick,Ireland",52.3591426,-8.4682225
400,"Castleconnell,Limerick,Ireland",52.7129297,-8.500052499999999
401,"Annacotty,Limerick,Ireland",52.667128,-8.5324694
402,"Ballyneety,Limerick,Ireland",52.5977547,-8.5490207
403,"Bruff,Limerick,Ireland",52.4755485,-8.5474034
404,"Kilmallock,Limerick,Ireland",52.3986185,-8.5715956
405,"Fedamore,Limerick,Ireland",52.54550709999999,-8.6016177
