"STATISTIC","Statistic Label","TLIST(A1)","Year","C03132V03784","Luas Line","C03841V04591","Time of day","UNIT","VALUE"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","01","Red line","300","22:00 - 22:59","%","1.89"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","01","Red line","320","23:00 - 23:59","%","1.27"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","01","Red line","330","00:00 - 00:59","%","0.34"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","02","Green line","110","05:00 - 05:59","%","0.25"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","02","Green line","120","06:00 - 06:59","%","2.06"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","02","Green line","130","07:00 - 07:59","%","5.77"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","02","Green line","140","08:00 - 08:59","%","12.69"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","02","Green line","150","09:00 - 09:59","%","6.56"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","02","Green line","160","10:00 - 10:59","%","3.64"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","02","Green line","180","11:00 - 11:59","%","3.48"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","02","Green line","190","12:00 - 12:59","%","4.3"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","02","Green line","200","13:00 - 13:59","%","5.3"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","02","Green line","220","14:00 - 14:59","%","4.92"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","02","Green line","230","15:00 - 15:59","%","5.91"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","02","Green line","240","16:00 - 16:59","%","7.83"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","02","Green line","250","17:00 - 17:59","%","10.97"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","02","Green line","260","18:00 - 18:59","%","8.91"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","02","Green line","270","19:00 - 19:59","%","5.1"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","02","Green line","280","20:00 - 20:59","%","3.76"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","02","Green line","290","21:00 - 21:59","%","3.04"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","02","Green line","300","22:00 - 22:59","%","2.5"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","02","Green line","320","23:00 - 23:59","%","2.13"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","02","Green line","330","00:00 - 00:59","%","0.88"
