"STATISTIC","Statistic Label","TLIST(W1)","Week","C03132V03784","Luas Line","UNIT","VALUE"
"TII03C01","Passenger Journeys","2020W32","2020 Week 32","1","Red line","Number","173546"
"TII03C01","Passenger Journeys","2020W32","2020 Week 32","2","Green line","Number","151141"
"TII03C01","Passenger Journeys","2020W33","2020 Week 33","-","All Luas lines","Number","327981"
"TII03C01","Passenger Journeys","2020W33","2020 Week 33","1","Red line","Number","166560"
"TII03C01","Passenger Journeys","2020W33","2020 Week 33","2","Green line","Number","161421"
"TII03C01","Passenger Journeys","2020W34","2020 Week 34","-","All Luas lines","Number","332762"
"TII03C01","Passenger Journeys","2020W34","2020 Week 34","1","Red line","Number","176256"
"TII03C01","Passenger Journeys","2020W34","2020 Week 34","2","Green line","Number","156507"
"TII03C01","Passenger Journeys","2020W35","2020 Week 35","-","All Luas lines","Number","352046"
"TII03C01","Passenger Journeys","2020W35","2020 Week 35","1","Red line","Number","183972"
"TII03C01","Passenger Journeys","2020W35","2020 Week 35","2","Green line","Number","168074"
"TII03C01","Passenger Journeys","2020W36","2020 Week 36","-","All Luas lines","Number","364177"
"TII03C01","Passenger Journeys","2020W36","2020 Week 36","1","Red line","Number","181996"
"TII03C01","Passenger Journeys","2020W36","2020 Week 36","2","Green line","Number","182181"
"TII03C01","Passenger Journeys","2020W37","2020 Week 37","-","All Luas lines","Number","385884"
"TII03C01","Passenger Journeys","2020W37","2020 Week 37","1","Red line","Number","196461"
"TII03C01","Passenger Journeys","2020W37","2020 Week 37","2","Green line","Number","189424"
"TII03C01","Passenger Journeys","2020W38","2020 Week 38","-","All Luas lines","Number","359756"
"TII03C01","Passenger Journeys","2020W38","2020 Week 38","1","Red line","Number","183897"
"TII03C01","Passenger Journeys","2020W38","2020 Week 38","2","Green line","Number","175859"
"TII03C01","Passenger Journeys","2020W39","2020 Week 39","-","All Luas lines","Number","322384"
"TII03C01","Passenger Journeys","2020W39","2020 Week 39","1","Red line","Number","158777"
"TII03C01","Passenger Journeys","2020W39","2020 Week 39","2","Green line","Number","163607"
"TII03C01","Passenger Journeys","2020W40","2020 Week 40","-","All Luas lines","Number","334649"
"TII03C01","Passenger Journeys","2020W40","2020 Week 40","1","Red line","Number","167616"
"TII03C01","Passenger Journeys","2020W40","2020 Week 40","2","Green line","Number","167033"
"TII03C01","Passenger Journeys","2020W41","2020 Week 41","-","All Luas lines","Number","350028"
"TII03C01","Passenger Journeys","2020W41","2020 Week 41","1","Red line","Number","174748"
"TII03C01","Passenger Journeys","2020W41","2020 Week 41","2","Green line","Number","175280"
"TII03C01","Passenger Journeys","2020W42","2020 Week 42","-","All Luas lines","Number","338183"
"TII03C01","Passenger Journeys","2020W42","2020 Week 42","1","Red line","Number","164088"
"TII03C01","Passenger Journeys","2020W42","2020 Week 42","2","Green line","Number","174095"
"TII03C01","Passenger Journeys","2020W43","2020 Week 43","-","All Luas lines","Number","283638"
"TII03C01","Passenger Journeys","2020W43","2020 Week 43","1","Red line","Number","145295"
"TII03C01","Passenger Journeys","2020W43","2020 Week 43","2","Green line","Number","138343"
"TII03C01","Passenger Journeys","2020W44","2020 Week 44","-","All Luas lines","Number","186287"
"TII03C01","Passenger Journeys","2020W44","2020 Week 44","1","Red line","Number","102521"
"TII03C01","Passenger Journeys","2020W44","2020 Week 44","2","Green line","Number","83766"
"TII03C01","Passenger Journeys","2020W45","2020 Week 45","-","All Luas lines","Number","227605"
"TII03C01","Passenger Journeys","2020W45","2020 Week 45","1","Red line","Number","118170"
"TII03C01","Passenger Journeys","2020W45","2020 Week 45","2","Green line","Number","109435"
"TII03C01","Passenger Journeys","2020W46","2020 Week 46","-","All Luas lines","Number","237979"
"TII03C01","Passenger Journeys","2020W46","2020 Week 46","1","Red line","Number","124527"
"TII03C01","Passenger Journeys","2020W46","2020 Week 46","2","Green line","Number","113452"
"TII03C01","Passenger Journeys","2020W47","2020 Week 47","-","All Luas lines","Number","244276"
"TII03C01","Passenger Journeys","2020W47","2020 Week 47","1","Red line","Number","129443"
"TII03C01","Passenger Journeys","2020W47","2020 Week 47","2","Green line","Number","114833"
"TII03C01","Passenger Journeys","2020W48","2020 Week 48","-","All Luas lines","Number","259772"
"TII03C01","Passenger Journeys","2020W48","2020 Week 48","1","Red line","Number","133829"
"TII03C01","Passenger Journeys","2020W48","2020 Week 48","2","Green line","Number","125944"
"TII03C01","Passenger Journeys","2020W49","2020 Week 49","-","All Luas lines","Number","394613"
"TII03C01","Passenger Journeys","2020W49","2020 Week 49","1","Red line","Number","195204"
"TII03C01","Passenger Journeys","2020W49","2020 Week 49","2","Green line","Number","199409"
"TII03C01","Passenger Journeys","2020W50","2020 Week 50","-","All Luas lines","Number","443719"
"TII03C01","Passenger Journeys","2020W50","2020 Week 50","1","Red line","Number","214437"
"TII03C01","Passenger Journeys","2020W50","2020 Week 50","2","Green line","Number","229282"
"TII03C01","Passenger Journeys","2020W51","2020 Week 51","-","All Luas lines","Number","460029"
"TII03C01","Passenger Journeys","2020W51","2020 Week 51","1","Red line","Number","223291"
"TII03C01","Passenger Journeys","2020W51","2020 Week 51","2","Green line","Number","236739"
"TII03C01","Passenger Journeys","2020W52","2020 Week 52","-","All Luas lines","Number","276844"
"TII03C01","Passenger Journeys","2020W52","2020 Week 52","1","Red line","Number","135020"
"TII03C01","Passenger Journeys","2020W52","2020 Week 52","2","Green line","Number","141825"
"TII03C01","Passenger Journeys","2020W53","2020 Week 53","-","All Luas lines","Number","141651"
"TII03C01","Passenger Journeys","2020W53","2020 Week 53","1","Red line","Number","71440"
"TII03C01","Passenger Journeys","2020W53","2020 Week 53","2","Green line","Number","70211"
"TII03C01","Passenger Journeys","2021W01","2021 Week 01","-","All Luas lines","Number","154882"
