"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02196V02652","State","UNIT","VALUE"
"NAQ03C02","Taxes on Products","20192","2019Q2","-","State","Euro Million","5065"
"NAQ03C02","Taxes on Products","20193","2019Q3","-","State","Euro Million","7126"
"NAQ03C02","Taxes on Products","20194","2019Q4","-","State","Euro Million","5935"
"NAQ03C02","Taxes on Products","20201","2020Q1","-","State","Euro Million","4990"
"NAQ03C02","Taxes on Products","20202","2020Q2","-","State","Euro Million","4197"
"NAQ03C02","Taxes on Products","20203","2020Q3","-","State","Euro Million","6797"
"NAQ03C02","Taxes on Products","20204","2020Q4","-","State","Euro Million","5660"
"NAQ03C02","Taxes on Products","20211","2021Q1","-","State","Euro Million","6450"
"NAQ03C02","Taxes on Products","20212","2021Q2","-","State","Euro Million","5393"
"NAQ03C02","Taxes on Products","20213","2021Q3","-","State","Euro Million","7841"
"NAQ03C02","Taxes on Products","20214","2021Q4","-","State","Euro Million","6661"
"NAQ03C02","Taxes on Products","20221","2022Q1","-","State","Euro Million","7467"
"NAQ03C02","Taxes on Products","20222","2022Q2","-","State","Euro Million","5162"
"NAQ03C02","Taxes on Products","20223","2022Q3","-","State","Euro Million","7973"
"NAQ03C02","Taxes on Products","20224","2022Q4","-","State","Euro Million","5857"
"NAQ03C02","Taxes on Products","20231","2023Q1","-","State","Euro Million","7137"
"NAQ03C02","Taxes on Products","20232","2023Q2","-","State","Euro Million","5086"
"NAQ03C03","Subsidies on Products","19951","1995Q1","-","State","Euro Million","-383"
"NAQ03C03","Subsidies on Products","19952","1995Q2","-","State","Euro Million","-424"
"NAQ03C03","Subsidies on Products","19953","1995Q3","-","State","Euro Million","-658"
"NAQ03C03","Subsidies on Products","19954","1995Q4","-","State","Euro Million","-705"
"NAQ03C03","Subsidies on Products","19961","1996Q1","-","State","Euro Million","-442"
"NAQ03C03","Subsidies on Products","19962","1996Q2","-","State","Euro Million","-483"
"NAQ03C03","Subsidies on Products","19963","1996Q3","-","State","Euro Million","-754"
"NAQ03C03","Subsidies on Products","19964","1996Q4","-","State","Euro Million","-800"
"NAQ03C03","Subsidies on Products","19971","1997Q1","-","State","Euro Million","-501"
"NAQ03C03","Subsidies on Products","19972","1997Q2","-","State","Euro Million","-627"
"NAQ03C03","Subsidies on Products","19973","1997Q3","-","State","Euro Million","-555"
"NAQ03C03","Subsidies on Products","19974","1997Q4","-","State","Euro Million","-844"
"NAQ03C03","Subsidies on Products","19981","1998Q1","-","State","Euro Million","-472"
"NAQ03C03","Subsidies on Products","19982","1998Q2","-","State","Euro Million","-640"
"NAQ03C03","Subsidies on Products","19983","1998Q3","-","State","Euro Million","-477"
