Town,County,Latitude,Longitude,Bus,Motorcycle,Other,Rail,Car,Bicyle / On Foot,Total
Dingle-Daingean Uí Chuis,Kerry,52.1408534,-10.2671142,42,8,8,12,804,718,1592
Doirí Beaga,Donegal,55.0743448,-8.2941873,52,0,6,0,622,72,752
Donabate,Dublin,53.4853365,-6.1504482,812,40,18,2780,6622,3226,13498
Donard,Wicklow,53.0222351,-6.6130978,24,0,2,0,204,48,278
Donaskeigh,Tipperary,52.5218302,-8.0647868,18,0,4,0,188,10,220
Donegal,Donegal,54.653827,-8.1096142,84,6,14,2,2324,524,2954
Doneraile,Cork,52.2151735,-8.5859774,14,2,2,8,742,178,946
Donore,Meath,53.6921097,-6.4172506,140,2,0,10,698,178,1028
Doohamlat,Monaghan,54.1287354,-6.8239946,32,0,0,0,292,64,388
Doon,Limerick,52.6043221,-8.2484917,16,2,8,2,600,164,792
Doonbeg,Clare,52.7308501,-9.5259951,22,0,2,0,182,60,266
Drangan,Tipperary,52.5170482,-7.5836627,8,0,4,0,132,10,154
Drimoleague,Cork,51.6599357,-9.2612453,48,0,2,0,438,68,556
