Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Day,DailyChange,PriceTrend
04/06/1984,0,0.640325814,0.63336575,0.63336575,870800,0,0,1984,6,4,0.63336575,Up
05/06/1984,0,0.633366141,0.626406074,0.626406074,997600,0,0,1984,6,5,0.626406074,Up
06/06/1984,0,0.647285908,0.640325844,0.640325844,607200,0,0,1984,6,6,0.640325844,Up
07/06/1984,0,0.640325814,0.63336575,0.63336575,1024800,0,0,1984,6,7,0.63336575,Up
08/06/1984,0,0.647285908,0.640325844,0.640325844,971200,0,0,1984,6,8,0.640325844,Up
11/06/1984,0,0.640325814,0.63336575,0.63336575,1100400,0,0,1984,6,11,0.63336575,Up
12/06/1984,0,0.640325814,0.63336575,0.63336575,586800,0,0,1984,6,12,0.63336575,Up
13/06/1984,0,0.647285908,0.640325844,0.640325844,436800,0,0,1984,6,13,0.640325844,Up
14/06/1984,0,0.633366141,0.626406074,0.626406074,2438000,0,0,1984,6,14,0.626406074,Up
15/06/1984,0,0.626405384,0.619445324,0.619445324,984800,0,0,1984,6,15,0.619445324,Up
18/06/1984,0,0.647285908,0.640325844,0.640325844,652400,0,0,1984,6,18,0.640325844,Up
19/06/1984,0,0.647285908,0.640325844,0.640325844,560800,0,0,1984,6,19,0.640325844,Up
20/06/1984,0,0.647285908,0.640325844,0.640325844,817200,0,0,1984,6,20,0.640325844,Up
21/06/1984,0,0.647285908,0.640325844,0.640325844,634000,0,0,1984,6,21,0.640325844,Up
22/06/1984,0,0.654246062,0.647285998,0.647285998,640800,0,0,1984,6,22,0.647285998,Up
25/06/1984,0,0.647285908,0.640325844,0.640325844,614800,0,0,1984,6,25,0.640325844,Up
26/06/1984,0,0.647285908,0.640325844,0.640325844,1889200,0,0,1984,6,26,0.640325844,Up
27/06/1984,0,0.647285908,0.640325844,0.640325844,979200,0,0,1984,6,27,0.640325844,Up
28/06/1984,0,0.640325814,0.63336575,0.63336575,436800,0,0,1984,6,28,0.63336575,Up
29/06/1984,0,0.647285908,0.640325844,0.640325844,942400,0,0,1984,6,29,0.640325844,Up
02/07/1984,0,0.647285908,0.640325844,0.640325844,1027600,0,0,1984,7,2,0.640325844,Up
03/07/1984,0,0.647285908,0.640325844,0.640325844,682000,0,0,1984,7,3,0.640325844,Up
05/07/1984,0,0.640325814,0.63336575,0.63336575,984400,0,0,1984,7,5,0.63336575,Up
06/07/1984,0,0.633366141,0.626406074,0.626406074,679200,0,0,1984,7,6,0.626406074,Up
09/07/1984,0,0.626405384,0.619445324,0.619445324,1145200,0,0,1984,7,9,0.619445324,Up
10/07/1984,0,0.619445711,0.612485647,0.612485647,814800,0,0,1984,7,10,0.612485647,Up
11/07/1984,0,0.626405384,0.619445324,0.619445324,1872000,0,0,1984,7,11,0.619445324,Up
12/07/1984,0,0.626405384,0.619445324,0.619445324,2276400,0,0,1984,7,12,0.619445324,Up
13/07/1984,0,0.640325814,0.63336575,0.63336575,1358400,0,0,1984,7,13,0.63336575,Up
16/07/1984,0,0.633366141,0.626406074,0.626406074,938000,0,0,1984,7,16,0.626406074,Up
17/07/1984,0,0.633366141,0.626406074,0.626406074,1844400,0,0,1984,7,17,0.626406074,Up
18/07/1984,0,0.633366141,0.626406074,0.626406074,1318800,0,0,1984,7,18,0.626406074,Up
19/07/1984,0,0.626405384,0.619445324,0.619445324,1399600,0,0,1984,7,19,0.619445324,Up
20/07/1984,0,0.619445711,0.612485647,0.612485647,1101200,0,0,1984,7,20,0.612485647,Up
23/07/1984,0,0.612485677,0.605525613,0.605525613,1286400,0,0,1984,7,23,0.605525613,Up
24/07/1984,0,0.612485677,0.605525613,0.605525613,736800,0,0,1984,7,24,0.605525613,Up
