Year,Month,TotalVolume,MaxHigh,MinLow,AvgClose
2019,12,51186700,39.01,36.22,37.96
1980,7,36800,0.16,0.14,0.15
1988,7,10873200,2.05,1.89,1.94
2000,2,16243700,17.49,14.93,16.06
2012,2,48460200,24.36,23.41,24.01
1991,6,47211000,5.47,4.95,5.16
2001,5,15537600,19.31,18.02,18.77
1980,5,15200,0.13,0.11,0.12
1995,10,19936700,8.03,6.97,7.42
2007,11,38378200,23.1,20.52,21.68
1985,4,41850800,0.87,0.72,0.79
1995,9,45446300,7.22,6.67,6.89
2018,7,58360700,32.23,30.21,31.26
1997,1,17452600,9.84,9.15,9.48
2005,12,23975500,21.19,20.04,20.54
2008,3,40561700,19.56,17.76,18.5
2020,7,72285200,35.65,33.08,34.35
1995,4,15371500,6.78,6.43,6.59
1991,2,38964800,4.76,4.32,4.55
2014,11,56323900,29.0,27.68,28.4
2015,6,92743200,28.36,26.48,27.42
2020,2,87414800,38.84,32.75,35.92
2002,1,20029700,17.76,16.38,17.12
2020,10,105571900,32.23,28.29,30.72
1996,4,16512800,7.5,6.71,7.24
2018,12,97704000,30.64,28.41,29.43
2022,6,133585700,41.68,38.27,39.97
1995,3,29571400,6.53,5.79,6.26
1998,6,8147600,19.87,16.98,18.46
2009,2,42155400,17.09,13.72,15.67
1980,3,2400,0.15,0.14,0.14
2009,4,65610000,14.7,13.2,14.02
2018,11,58285400,32.7,29.85,31.54
1982,1,459200,0.26,0.22,0.24
2001,4,14979800,18.59,17.08,17.93
2010,4,40070700,19.37,17.96,18.8
1983,1,37128000,0.67,0.57,0.63
1987,9,20014800,3.38,3.07,3.23
1988,10,35106600,2.32,2.09,2.23
1989,1,26385400,2.45,2.13,2.25
1991,1,30437800,4.36,3.81,4.04
2001,8,11981800,20.08,18.18,18.94
2003,8,16212600,15.01,13.87,14.52
1982,5,2755200,0.36,0.32,0.33
2012,3,41750300,24.78,23.81,24.37
1997,6,14367500,13.49,12.04,12.85
2000,6,16043600,19.71,17.67,18.74
1981,6,529600,0.22,0.19,0.2
1983,5,68021200,0.83,0.71,0.76
2007,2,38602100,24.67,22.72,23.64
2011,10,69096100,23.97,21.03,22.83
2012,5,47141700,25.4,23.84,24.67
1996,5,22280100,7.99,6.98,7.49
2004,1,23120900,17.76,16.37,17.02
2013,1,46281800,25.8,24.56,24.99
2002,10,24585600,15.55,13.54,14.55
2006,2,25423700,21.16,20.17,20.71
2018,6,42433300,32.26,30.04,31.04
2013,8,46182600,30.51,29.55,30.07
2016,8,55309300,31.24,29.98,30.61
2017,2,72411400,29.66,27.44,28.49
1982,9,4728800,0.41,0.37,0.38
1990,2,11938600,3.03,2.81,2.88
2007,12,32681700,23.41,21.68,22.48
1992,2,57173400,7.85,6.97,7.42
1992,6,42150800,7.26,6.25,6.71
2017,11,101224300,26.72,25.65,26.1
2015,1,84397000,28.28,25.6,27.08
2017,5,73938900,32.05,29.03,30.56
1998,5,5821600,18.43,17.18,17.83
2004,3,41448400,16.22,14.89,15.4
2006,8,25279400,23.55,22.07,22.63
2007,7,54672800,22.74,20.46,22.0
2011,1,59181400,20.12,18.29,19.25
2022,9,153136500,31.01,26.84,28.88
1984,8,29148000,0.7,0.62,0.67
1989,6,18402800,2.66,2.37,2.51
1993,12,35491600,5.81,5.28,5.48
2003,6,17022800,16.15,14.71,15.43
2005,2,25124800,19.49,17.32,18.37
2015,5,78493400,29.44,27.71,28.6
2019,7,55620000,34.05,32.19,33.0
2023,12,53420200,37.03,35.46,36.21
1980,9,56000,0.17,0.15,0.16
1984,1,24625200,0.64,0.55,0.6
1994,4,21527500,4.96,4.36,4.59
1996,12,13025400,10.0,9.35,9.59
1999,1,8051500,24.63,21.52,23.11
2006,5,27719500,23.91,22.24,23.12
2018,2,83157300,28.05,25.77,27.23
