,STATISTIC,Statistic Label,TLIST(Q1),Quarter,C02196V02652,State,UNIT,VALUE,Year,Quarter No
165,NAQ03C02,Taxes on Products,20074,2007Q4,-,State,Euro Million,5658,2007,4
166,NAQ03C02,Taxes on Products,20081,2008Q1,-,State,Euro Million,6402,2008,1
167,NAQ03C02,Taxes on Products,20082,2008Q2,-,State,Euro Million,4518,2008,2
168,NAQ03C02,Taxes on Products,20083,2008Q3,-,State,Euro Million,5967,2008,3
169,NAQ03C02,Taxes on Products,20084,2008Q4,-,State,Euro Million,4309,2008,4
170,NAQ03C02,Taxes on Products,20091,2009Q1,-,State,Euro Million,4660,2009,1
171,NAQ03C02,Taxes on Products,20092,2009Q2,-,State,Euro Million,3704,2009,2
172,NAQ03C02,Taxes on Products,20093,2009Q3,-,State,Euro Million,5268,2009,3
173,NAQ03C02,Taxes on Products,20094,2009Q4,-,State,Euro Million,4133,2009,4
174,NAQ03C02,Taxes on Products,20101,2010Q1,-,State,Euro Million,4685,2010,1
175,NAQ03C02,Taxes on Products,20102,2010Q2,-,State,Euro Million,3621,2010,2
176,NAQ03C02,Taxes on Products,20103,2010Q3,-,State,Euro Million,5330,2010,3
177,NAQ03C02,Taxes on Products,20104,2010Q4,-,State,Euro Million,4088,2010,4
178,NAQ03C02,Taxes on Products,20111,2011Q1,-,State,Euro Million,4671,2011,1
179,NAQ03C02,Taxes on Products,20112,2011Q2,-,State,Euro Million,3373,2011,2
180,NAQ03C02,Taxes on Products,20113,2011Q3,-,State,Euro Million,4864,2011,3
181,NAQ03C02,Taxes on Products,20114,2011Q4,-,State,Euro Million,3994,2011,4
182,NAQ03C02,Taxes on Products,20121,2012Q1,-,State,Euro Million,4601,2012,1
183,NAQ03C02,Taxes on Products,20122,2012Q2,-,State,Euro Million,3409,2012,2
184,NAQ03C02,Taxes on Products,20123,2012Q3,-,State,Euro Million,5129,2012,3
185,NAQ03C02,Taxes on Products,20124,2012Q4,-,State,Euro Million,3896,2012,4
186,NAQ03C02,Taxes on Products,20131,2013Q1,-,State,Euro Million,4782,2013,1
187,NAQ03C02,Taxes on Products,20132,2013Q2,-,State,Euro Million,3511,2013,2
188,NAQ03C02,Taxes on Products,20133,2013Q3,-,State,Euro Million,5256,2013,3
189,NAQ03C02,Taxes on Products,20134,2013Q4,-,State,Euro Million,4081,2013,4
190,NAQ03C02,Taxes on Products,20141,2014Q1,-,State,Euro Million,4942,2014,1
191,NAQ03C02,Taxes on Products,20142,2014Q2,-,State,Euro Million,4070,2014,2
192,NAQ03C02,Taxes on Products,20143,2014Q3,-,State,Euro Million,5325,2014,3
193,NAQ03C02,Taxes on Products,20144,2014Q4,-,State,Euro Million,4847,2014,4
194,NAQ03C02,Taxes on Products,20151,2015Q1,-,State,Euro Million,5325,2015,1
195,NAQ03C02,Taxes on Products,20152,2015Q2,-,State,Euro Million,4365,2015,2
196,NAQ03C02,Taxes on Products,20153,2015Q3,-,State,Euro Million,5862,2015,3
197,NAQ03C02,Taxes on Products,20154,2015Q4,-,State,Euro Million,4856,2015,4
198,NAQ03C02,Taxes on Products,20161,2016Q1,-,State,Euro Million,5901,2016,1
199,NAQ03C02,Taxes on Products,20162,2016Q2,-,State,Euro Million,4699,2016,2
200,NAQ03C02,Taxes on Products,20163,2016Q3,-,State,Euro Million,6008,2016,3
201,NAQ03C02,Taxes on Products,20164,2016Q4,-,State,Euro Million,5082,2016,4
202,NAQ03C02,Taxes on Products,20171,2017Q1,-,State,Euro Million,6156,2017,1
203,NAQ03C02,Taxes on Products,20172,2017Q2,-,State,Euro Million,4413,2017,2
204,NAQ03C02,Taxes on Products,20173,2017Q3,-,State,Euro Million,6394,2017,3
205,NAQ03C02,Taxes on Products,20174,2017Q4,-,State,Euro Million,5525,2017,4
206,NAQ03C02,Taxes on Products,20181,2018Q1,-,State,Euro Million,6128,2018,1
207,NAQ03C02,Taxes on Products,20182,2018Q2,-,State,Euro Million,4632,2018,2
208,NAQ03C02,Taxes on Products,20183,2018Q3,-,State,Euro Million,6834,2018,3
209,NAQ03C02,Taxes on Products,20184,2018Q4,-,State,Euro Million,5526,2018,4
210,NAQ03C02,Taxes on Products,20191,2019Q1,-,State,Euro Million,6616,2019,1
211,NAQ03C02,Taxes on Products,20192,2019Q2,-,State,Euro Million,5065,2019,2
212,NAQ03C02,Taxes on Products,20193,2019Q3,-,State,Euro Million,7126,2019,3
213,NAQ03C02,Taxes on Products,20194,2019Q4,-,State,Euro Million,5935,2019,4
214,NAQ03C02,Taxes on Products,20201,2020Q1,-,State,Euro Million,4990,2020,1
215,NAQ03C02,Taxes on Products,20202,2020Q2,-,State,Euro Million,4197,2020,2
216,NAQ03C02,Taxes on Products,20203,2020Q3,-,State,Euro Million,6797,2020,3
217,NAQ03C02,Taxes on Products,20204,2020Q4,-,State,Euro Million,5660,2020,4
218,NAQ03C02,Taxes on Products,20211,2021Q1,-,State,Euro Million,6450,2021,1
219,NAQ03C02,Taxes on Products,20212,2021Q2,-,State,Euro Million,5393,2021,2
220,NAQ03C02,Taxes on Products,20213,2021Q3,-,State,Euro Million,7841,2021,3
221,NAQ03C02,Taxes on Products,20214,2021Q4,-,State,Euro Million,6661,2021,4
222,NAQ03C02,Taxes on Products,20221,2022Q1,-,State,Euro Million,7467,2022,1
223,NAQ03C02,Taxes on Products,20222,2022Q2,-,State,Euro Million,5162,2022,2
224,NAQ03C02,Taxes on Products,20223,2022Q3,-,State,Euro Million,7973,2022,3
225,NAQ03C02,Taxes on Products,20224,2022Q4,-,State,Euro Million,5857,2022,4
226,NAQ03C02,Taxes on Products,20231,2023Q1,-,State,Euro Million,7137,2023,1
227,NAQ03C02,Taxes on Products,20232,2023Q2,-,State,Euro Million,5086,2023,2
228,NAQ03C03,Subsidies on Products,19951,1995Q1,-,State,Euro Million,-383,1995,1
229,NAQ03C03,Subsidies on Products,19952,1995Q2,-,State,Euro Million,-424,1995,2
230,NAQ03C03,Subsidies on Products,19953,1995Q3,-,State,Euro Million,-658,1995,3
231,NAQ03C03,Subsidies on Products,19954,1995Q4,-,State,Euro Million,-705,1995,4
232,NAQ03C03,Subsidies on Products,19961,1996Q1,-,State,Euro Million,-442,1996,1
233,NAQ03C03,Subsidies on Products,19962,1996Q2,-,State,Euro Million,-483,1996,2
234,NAQ03C03,Subsidies on Products,19963,1996Q3,-,State,Euro Million,-754,1996,3
235,NAQ03C03,Subsidies on Products,19964,1996Q4,-,State,Euro Million,-800,1996,4
236,NAQ03C03,Subsidies on Products,19971,1997Q1,-,State,Euro Million,-501,1997,1
237,NAQ03C03,Subsidies on Products,19972,1997Q2,-,State,Euro Million,-627,1997,2
238,NAQ03C03,Subsidies on Products,19973,1997Q3,-,State,Euro Million,-555,1997,3
239,NAQ03C03,Subsidies on Products,19974,1997Q4,-,State,Euro Million,-844,1997,4
240,NAQ03C03,Subsidies on Products,19981,1998Q1,-,State,Euro Million,-472,1998,1
241,NAQ03C03,Subsidies on Products,19982,1998Q2,-,State,Euro Million,-640,1998,2
242,NAQ03C03,Subsidies on Products,19983,1998Q3,-,State,Euro Million,-477,1998,3
243,NAQ03C03,Subsidies on Products,19984,1998Q4,-,State,Euro Million,-916,1998,4
244,NAQ03C03,Subsidies on Products,19991,1999Q1,-,State,Euro Million,-447,1999,1
245,NAQ03C03,Subsidies on Products,19992,1999Q2,-,State,Euro Million,-558,1999,2
246,NAQ03C03,Subsidies on Products,19993,1999Q3,-,State,Euro Million,-510,1999,3
247,NAQ03C03,Subsidies on Products,19994,1999Q4,-,State,Euro Million,-802,1999,4
248,NAQ03C03,Subsidies on Products,20001,2000Q1,-,State,Euro Million,-561,2000,1
249,NAQ03C03,Subsidies on Products,20002,2000Q2,-,State,Euro Million,-543,2000,2
250,NAQ03C03,Subsidies on Products,20003,2000Q3,-,State,Euro Million,-382,2000,3
251,NAQ03C03,Subsidies on Products,20004,2000Q4,-,State,Euro Million,-817,2000,4
252,NAQ03C03,Subsidies on Products,20011,2001Q1,-,State,Euro Million,-369,2001,1
253,NAQ03C03,Subsidies on Products,20012,2001Q2,-,State,Euro Million,-346,2001,2
254,NAQ03C03,Subsidies on Products,20013,2001Q3,-,State,Euro Million,-462,2001,3
255,NAQ03C03,Subsidies on Products,20014,2001Q4,-,State,Euro Million,-728,2001,4
256,NAQ03C03,Subsidies on Products,20021,2002Q1,-,State,Euro Million,-419,2002,1
257,NAQ03C03,Subsidies on Products,20022,2002Q2,-,State,Euro Million,-548,2002,2
258,NAQ03C03,Subsidies on Products,20023,2002Q3,-,State,Euro Million,-518,2002,3
259,NAQ03C03,Subsidies on Products,20024,2002Q4,-,State,Euro Million,-915,2002,4
260,NAQ03C03,Subsidies on Products,20031,2003Q1,-,State,Euro Million,-430,2003,1
261,NAQ03C03,Subsidies on Products,20032,2003Q2,-,State,Euro Million,-526,2003,2
262,NAQ03C03,Subsidies on Products,20033,2003Q3,-,State,Euro Million,-536,2003,3
263,NAQ03C03,Subsidies on Products,20034,2003Q4,-,State,Euro Million,-824,2003,4
264,NAQ03C03,Subsidies on Products,20041,2004Q1,-,State,Euro Million,-528,2004,1
265,NAQ03C03,Subsidies on Products,20042,2004Q2,-,State,Euro Million,-561,2004,2
266,NAQ03C03,Subsidies on Products,20043,2004Q3,-,State,Euro Million,-464,2004,3
267,NAQ03C03,Subsidies on Products,20044,2004Q4,-,State,Euro Million,-732,2004,4
268,NAQ03C03,Subsidies on Products,20051,2005Q1,-,State,Euro Million,-302,2005,1
269,NAQ03C03,Subsidies on Products,20052,2005Q2,-,State,Euro Million,-354,2005,2
270,NAQ03C03,Subsidies on Products,20053,2005Q3,-,State,Euro Million,-330,2005,3
271,NAQ03C03,Subsidies on Products,20054,2005Q4,-,State,Euro Million,-611,2005,4
272,NAQ03C03,Subsidies on Products,20061,2006Q1,-,State,Euro Million,-256,2006,1
273,NAQ03C03,Subsidies on Products,20062,2006Q2,-,State,Euro Million,-283,2006,2
274,NAQ03C03,Subsidies on Products,20063,2006Q3,-,State,Euro Million,-365,2006,3
275,NAQ03C03,Subsidies on Products,20064,2006Q4,-,State,Euro Million,-299,2006,4
276,NAQ03C03,Subsidies on Products,20071,2007Q1,-,State,Euro Million,-295,2007,1
277,NAQ03C03,Subsidies on Products,20072,2007Q2,-,State,Euro Million,-322,2007,2
278,NAQ03C03,Subsidies on Products,20073,2007Q3,-,State,Euro Million,-406,2007,3
279,NAQ03C03,Subsidies on Products,20074,2007Q4,-,State,Euro Million,-253,2007,4
280,NAQ03C03,Subsidies on Products,20081,2008Q1,-,State,Euro Million,-353,2008,1
281,NAQ03C03,Subsidies on Products,20082,2008Q2,-,State,Euro Million,-325,2008,2
282,NAQ03C03,Subsidies on Products,20083,2008Q3,-,State,Euro Million,-379,2008,3
283,NAQ03C03,Subsidies on Products,20084,2008Q4,-,State,Euro Million,-259,2008,4
284,NAQ03C03,Subsidies on Products,20091,2009Q1,-,State,Euro Million,-295,2009,1
285,NAQ03C03,Subsidies on Products,20092,2009Q2,-,State,Euro Million,-323,2009,2
286,NAQ03C03,Subsidies on Products,20093,2009Q3,-,State,Euro Million,-357,2009,3
287,NAQ03C03,Subsidies on Products,20094,2009Q4,-,State,Euro Million,-374,2009,4
