"STATISTIC","Statistic Label","TLIST(W1)","Week","C03935V04687","Mode of Transport","UNIT","VALUE"
"THA25C01","Passenger Journeys","2019W47","2019 Week 47","20","Bus, excluding Dublin Metro","Number","772760"
"THA25C01","Passenger Journeys","2019W47","2019 Week 47","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W47","2019 Week 47","40","All public transport, excluding LUAS","Number","3964812"
"THA25C01","Passenger Journeys","2019W48","2019 Week 48","10","Dublin Metro Bus","Number","3251721"
"THA25C01","Passenger Journeys","2019W48","2019 Week 48","20","Bus, excluding Dublin Metro","Number","794233"
"THA25C01","Passenger Journeys","2019W48","2019 Week 48","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W48","2019 Week 48","40","All public transport, excluding LUAS","Number","4045954"
"THA25C01","Passenger Journeys","2019W49","2019 Week 49","10","Dublin Metro Bus","Number","3215990"
"THA25C01","Passenger Journeys","2019W49","2019 Week 49","20","Bus, excluding Dublin Metro","Number","773085"
"THA25C01","Passenger Journeys","2019W49","2019 Week 49","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W49","2019 Week 49","40","All public transport, excluding LUAS","Number","3989075"
"THA25C01","Passenger Journeys","2019W50","2019 Week 50","10","Dublin Metro Bus","Number","3271738"
"THA25C01","Passenger Journeys","2019W50","2019 Week 50","20","Bus, excluding Dublin Metro","Number","768340"
"THA25C01","Passenger Journeys","2019W50","2019 Week 50","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W50","2019 Week 50","40","All public transport, excluding LUAS","Number","4040078"
"THA25C01","Passenger Journeys","2019W51","2019 Week 51","10","Dublin Metro Bus","Number","3166707"
"THA25C01","Passenger Journeys","2019W51","2019 Week 51","20","Bus, excluding Dublin Metro","Number","900418"
"THA25C01","Passenger Journeys","2019W51","2019 Week 51","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W51","2019 Week 51","40","All public transport, excluding LUAS","Number","4067125"
"THA25C01","Passenger Journeys","2019W52","2019 Week 52","10","Dublin Metro Bus","Number","1599369"
"THA25C01","Passenger Journeys","2019W52","2019 Week 52","20","Bus, excluding Dublin Metro","Number","397160"
"THA25C01","Passenger Journeys","2019W52","2019 Week 52","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W52","2019 Week 52","40","All public transport, excluding LUAS","Number","1996529"
"THA25C01","Passenger Journeys","2019W53","2019 Week 53","10","Dublin Metro Bus","Number",""
"THA25C01","Passenger Journeys","2019W53","2019 Week 53","20","Bus, excluding Dublin Metro","Number",""
"THA25C01","Passenger Journeys","2019W53","2019 Week 53","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W53","2019 Week 53","40","All public transport, excluding LUAS","Number",""
"THA25C01","Passenger Journeys","2020W01","2020 Week 01","10","Dublin Metro Bus","Number","1970550"
"THA25C01","Passenger Journeys","2020W01","2020 Week 01","20","Bus, excluding Dublin Metro","Number","523817"
"THA25C01","Passenger Journeys","2020W01","2020 Week 01","30","Rail","Number","697954"
"THA25C01","Passenger Journeys","2020W01","2020 Week 01","40","All public transport, excluding LUAS","Number","3192321"
"THA25C01","Passenger Journeys","2020W02","2020 Week 02","10","Dublin Metro Bus","Number","2830713"
"THA25C01","Passenger Journeys","2020W02","2020 Week 02","20","Bus, excluding Dublin Metro","Number","652672"
"THA25C01","Passenger Journeys","2020W02","2020 Week 02","30","Rail","Number","899175"
"THA25C01","Passenger Journeys","2020W02","2020 Week 02","40","All public transport, excluding LUAS","Number","4382560"
"THA25C01","Passenger Journeys","2020W03","2020 Week 03","10","Dublin Metro Bus","Number","2907797"
"THA25C01","Passenger Journeys","2020W03","2020 Week 03","20","Bus, excluding Dublin Metro","Number","693102"
"THA25C01","Passenger Journeys","2020W03","2020 Week 03","30","Rail","Number","925257"
"THA25C01","Passenger Journeys","2020W03","2020 Week 03","40","All public transport, excluding LUAS","Number","4526156"
"THA25C01","Passenger Journeys","2020W04","2020 Week 04","10","Dublin Metro Bus","Number","3076009"
"THA25C01","Passenger Journeys","2020W04","2020 Week 04","20","Bus, excluding Dublin Metro","Number","747531"
"THA25C01","Passenger Journeys","2020W04","2020 Week 04","30","Rail","Number","959703"
"THA25C01","Passenger Journeys","2020W04","2020 Week 04","40","All public transport, excluding LUAS","Number","4783243"
"THA25C01","Passenger Journeys","2020W05","2020 Week 05","10","Dublin Metro Bus","Number","3152056"
"THA25C01","Passenger Journeys","2020W05","2020 Week 05","20","Bus, excluding Dublin Metro","Number","755189"
"THA25C01","Passenger Journeys","2020W05","2020 Week 05","30","Rail","Number","1019494"
"THA25C01","Passenger Journeys","2020W05","2020 Week 05","40","All public transport, excluding LUAS","Number","4926739"
"THA25C01","Passenger Journeys","2020W06","2020 Week 06","10","Dublin Metro Bus","Number","3104689"
"THA25C01","Passenger Journeys","2020W06","2020 Week 06","20","Bus, excluding Dublin Metro","Number","748401"
"THA25C01","Passenger Journeys","2020W06","2020 Week 06","30","Rail","Number","1041672"
"THA25C01","Passenger Journeys","2020W06","2020 Week 06","40","All public transport, excluding LUAS","Number","4894762"
"THA25C01","Passenger Journeys","2020W07","2020 Week 07","10","Dublin Metro Bus","Number","3097986"
"THA25C01","Passenger Journeys","2020W07","2020 Week 07","20","Bus, excluding Dublin Metro","Number","729974"
