"STATISTIC","Statistic Label","TLIST(A1)","CensusYear","C02199V02655","Sex","C02734V03302","Means of Travel","C02704V03272","At Work, School or College","UNIT","VALUE"
"FY081C01","Total Persons","2016","2016","1","Male","02","Bicycle","-06","All persons","Number","60110"
"FY081C01","Total Persons","2016","2016","1","Male","02","Bicycle","904","Population aged 15 years and over at work","Number","41341"
"FY081C01","Total Persons","2016","2016","1","Male","02","Bicycle","901","Children at school aged between 5 and 12 years","Number","4858"
"FY081C01","Total Persons","2016","2016","1","Male","02","Bicycle","902","Students at school or college aged between 13 and 18 years","Number","6588"
"FY081C01","Total Persons","2016","2016","1","Male","02","Bicycle","903","Students at school or college aged 19 years and over","Number","7323"
"FY081C01","Total Persons","2016","2016","1","Male","03","Bus, minibus or coach","-06","All persons","Number","150573"
"FY081C01","Total Persons","2016","2016","1","Male","03","Bus, minibus or coach","904","Population aged 15 years and over at work","Number","49788"
"FY081C01","Total Persons","2016","2016","1","Male","03","Bus, minibus or coach","901","Children at school aged between 5 and 12 years","Number","29410"
"FY081C01","Total Persons","2016","2016","1","Male","03","Bus, minibus or coach","902","Students at school or college aged between 13 and 18 years","Number","49934"
"FY081C01","Total Persons","2016","2016","1","Male","03","Bus, minibus or coach","903","Students at school or college aged 19 years and over","Number","21441"
"FY081C01","Total Persons","2016","2016","1","Male","04","Train, DART or LUAS","-06","All persons","Number","42126"
